Year  Mon  Ver  TotalArc  Okhotsk   Bering   Hudson   Baffin  Grnland  BarKara  ArctOcn  CanArch   StLawr
2011    1  v01  13637669   595886   649380  1196775   717715   702368  1655098  7158209   750859    44028
2011    2  v01  14432613   904706   716510  1233463   945299   690152  1728248  7158209   750859    72548
2011    3  v01  14635642   970277   679756  1233463  1153137   763774  1651823  7158209   750859    85427
2011    4  v01  14191547   752170   666606  1233463  1104600   725856  1637228  7158209   750859    37935
2011    5  v01  12881422   250404   319122  1211406   939877   692857  1471299  7158209   750859    34814
2011    6  v01  11040290    53353    10809   964431   758905   672434   939038  6894674   744548     2096
2011    7  v01   7940449        0        0   170526   204701   578987   335705  5961356   689172        0
2011    8  v01   5569016        0        0    49956    33266   376825   105982  4677218   325766        0
2011    9  v01   4644324        0        0    15259    55484   330940    62918  3943380   236340        0
2011   10  v01   7160816    23607     3034    31315   273218   413498   226646  5523657   665838        0
2011   11  v01  10043825    50040   101374   175718   584125   532650   871237  6947061   750859    27280
2011   12  v01  12460382   417745   479467  1142072   824530   630582   974369  7158209   750859    39565
2012    1  v01  13814771   723189   838580  1233463  1152965   614815  1249746  7131302   750859    67573
2012    2  v01  14638228  1087254   983004  1233463  1256245   712393  1194474  7113585   750859   151914
2012    3  v01  15274832  1198992  1079723  1233463  1495734   696717  1425139  7132617   750859   126350
2012    4  v01  14750444   903460  1075389  1233463  1259394   756603  1478532  7158209   750859    44562
2012    5  v01  13162733   302432   691587  1230480  1042715   772701  1160934  7158209   750859    34344
2012    6  v01  10965157    68278    77113  1079219   643508   746278   639570  6962479   747663     1045
2012    7  v01   7957617        0      602   205496   142214   494808   200496  6213978   700019        0
2012    8  v01   4715256        0        0    48358    34492   339942    68156  3900490   323817        0
2012    9  v01   3640538        0        0    13420    47101   319990    61651  3013793   184581        0
2012   10  v01   7066891    23058     3006    20701    71345   477031   141567  5712588   617591        0
2012   11  v01   9947275    40102   151871   333795   490646   555101   480053  7115583   750859    25785
2012   12  v01  12257548   200205   487183  1223250   761605   622169   987139  7112939   750859    42608
2013    1  v01  13863923   768536   718099  1233463  1073285   660129  1369042  7108271   750859    65004
2013    2  v01  14747772  1004678   922364  1233463  1203013   714917  1481811  7140488   750859   147823
2013    3  v01  15097002  1138917   928126  1233463  1156354   743075  1705909  7158209   750859    90961
2013    4  v01  14408897   645680   852916  1233463  1104752   796520  1690521  7158209   750859    42999
2013    5  v01  13127702   301483   536279  1233463  1044194   716578  1342045  7141422   750859    34812
2013    6  v01  11604618   100305    54407  1147215   808831   666588  1046293  7042083   736795     2097
2013    7  v01   8454703        0        0   227785   213220   334872   465651  6484686   728485        0
2013    8  v01   6106096        0        0    67725    55489   198621   186277  5044156   553826        0
2013    9  v01   5363971        0        0    15280    71146   186720   118134  4514192   458496        0
2013   10  v01   8137873    20811     3635    31864   113766   391689   523297  6408669   644139        0
2013   11  v01  10267777    45093    43778   438802   553296   579764   835286  6990697   750859    27300
2013   12  v01  12445272   103292   244088  1233463   907356   684979  1264538  7158209   750859    57634
